Param: 54.82M - Day10 91.68M -> Day11 54.7M vocab 75% cut
Step | loss | time | CUDA | peak | vocab 8K next-token
  1 | 9.1495 | 0.2s | 294MB | 428MB
 50 | 0.1505 | 0.8s | 511MB | 788MB
100 | 0.0488 | 1.4s | 404MB | 788MB
150 | 0.0461 | 2.1s | 511MB | 788MB
200 | 0.0461 | 2.7s | 404MB | 788MB
250 | 0.0471 | 3.4s | 511MB | 788MB
300 | 0.0477 | 4.0s | 404MB | 788MB
350 | 0.0452 | 4.6s | 511MB | 788MB
400 | 0.0474 | 5.3s | 404MB | 788MB
450 | 0.0441 | 5.9s | 511MB | 788MB
500 | 0.0463 | 6.6s | 404MB | 788MB
Final 0.0463 | Total 6.6s | Param 54.8M
